Vernier Format 2
glaL4_A_8.cmbl 09.04.2019 10:41:18 .
Latest
Wavelength	Intensity
λ	I
nm	rel

479.395269487	0.001
479.6555821	0.001
479.915886226	0.001
480.176181865	0.001
480.436469016	0.001
480.696747678	0.001
480.957017852	0.001
481.217279536	0.001
481.477532731	0.001
481.737777435	0.001
481.998013648	0.001
482.258241369	0.001
482.518460598	0.001
482.778671334	0.001
483.038873578	0.001
483.299067327	0.001
483.559252583	0.001
483.819429343	0.001
484.079597608	0.001
484.339757378	0.001
484.599908651	0.001
484.860051427	0.001
485.120185705	0.001
485.380311486	0.001
485.640428768	0.001
485.90053755	0.001
486.160637834	0.001
486.420729617	0.001
486.680812899	0.001
486.94088768	0.001
487.20095396	0.001
487.461011737	0.001
487.721061011	0.001
487.981101782	0.001
488.241134049	0.001
488.501157812	0.001
488.76117307	0.001
489.021179822	0.001
489.281178068	0.001
489.541167807	0.001
489.80114904	0.001
490.061121764	0.001
490.321085981	0.001
490.581041689	0.001
490.840988887	0.001
491.100927576	0.001
491.360857755	0.001
491.620779422	0.001
491.880692578	0.001
492.140597222	0.001
492.400493354	0.001
492.660380973	0.001
492.920260078	0.001
493.180130669	0.001
493.439992746	0.001
493.699846307	0.001
493.959691353	0.001
494.219527882	0.001
494.479355895	0.001
494.73917539	0.001
494.998986368	0.001
495.258788827	0.001
495.518582767	0.001
495.778368188	0.001
496.038145088	0.001
496.297913469	0.001
496.557673328	0.001
496.817424666	0.001
497.077167481	0.001
497.336901774	0.001
497.596627544	0.001
497.85634479	0.001
498.116053511	0.001
498.375753708	0.001
498.63544538	0.001
498.895128526	0.001
499.154803145	0.001
499.414469237	0.001
499.674126802	0.001
499.933775839	0.001
500.193416347	0.001
500.453048326	0.001
500.712671776	0.001
500.972286695	0.001
501.231893084	0.001
501.491490942	0.001
501.751080267	0.001
502.010661061	0.001
502.270233321	0.001
502.529797049	0.001
502.789352242	0.001
503.048898901	0.001
503.308437025	0.001
503.567966613	0.001
503.827487665	0.001
504.087000181	0.001
504.34650416	0.001
504.6059996	0.001
504.865486503	0.001
505.124964867	0.001
505.384434692	0.001
505.643895977	0.001
505.903348721	0.001
506.162792925	0.001
506.422228587	0.001
506.681655708	0.001
506.941074286	0.001
507.200484321	0.001
507.459885812	0.001
507.719278759	0.001
507.978663162	0.001
508.238039019	0.001
508.497406331	0.001
508.756765096	0.001
509.016115315	0.001
509.275456986	0.001
509.53479011	0.001
509.794114685	0.001
510.053430711	0.001
510.312738188	0.001
510.572037115	0.001
510.831327491	0.001
511.090609317	0.001
511.34988259	0.001
511.609147312	0.001
511.868403481	0.001
512.127651096	0.001
512.386890158	0.001
512.646120666	0.001
512.905342619	0.001
513.164556016	0.001
513.423760858	0.001
513.682957143	0.001
513.942144872	0.001
514.201324042	0.001
514.460494655	0.001
514.719656709	0.001
514.978810204	0.001
515.23795514	0.001
515.497091515	0.001
515.75621933	0.001
516.015338583	0.001
516.274449275	0.001
516.533551404	0.001
516.792644971	0.001
517.051729974	0.001
517.310806413	0.001
517.569874287	0.001
517.828933597	0.001
518.087984341	0.001
518.34702652	0.001
518.606060131	0.001
518.865085175	0.001
519.124101652	0.001
519.383109561	0.001
519.6421089	0.001
519.901099671	0.001
520.160081872	0.001
520.419055502	0.001
520.678020561	0.001
520.93697705	0.001
521.195924966	0.001
521.454864309	0.001
521.71379508	0.001
521.972717277	0.001
522.2316309	0.001
522.490535948	0.001
522.749432421	0.001
523.008320319	0.001
523.26719964	0.001
523.526070384	0.001
523.784932551	0.001
524.04378614	0.001
524.302631151	0.001
524.561467583	0.001
524.820295436	0.001
525.079114708	0.001
525.3379254	0.001
525.596727511	0.001
525.85552104	0.001
526.114305987	0.001
526.373082352	0.001
526.631850133	0.001
526.890609331	0.001
527.149359944	0.001
527.408101972	0.001
527.666835415	0.001
527.925560272	0.001
528.184276543	0.001
528.442984227	0.001
528.701683323	0.001
528.960373832	0.001
529.219055751	0.001
529.477729082	0.001
529.736393823	0.001
529.995049974	0.001
530.253697534	0.001
530.512336503	0.001
530.77096688	0.001
531.029588665	0.001
531.288201856	0.001
531.546806455	0.001
531.80540246	0.001
532.06398987	0.001
532.322568685	0.001
532.581138904	0.001
532.839700528	0.001
533.098253555	0.001
533.356797985	0.001
533.615333817	0.001
533.873861051	0.001
534.132379686	0.001
534.390889722	0.001
534.649391158	0.001
534.907883994	0.001
535.166368228	0.001
535.424843862	0.001
535.683310893	0.001
535.941769322	0.001
536.200219148	0.001
536.45866037	0.001
536.717092989	0.001
536.975517002	0.001
537.23393241	0.001
537.492339213	0.001
537.75073741	0.001
538.009126999	0.001
538.267507982	0.001
538.525880356	0.001
538.784244122	0.001
539.042599279	0.001
539.300945827	0.001
539.559283765	0.001
539.817613092	0.001
540.075933808	0.001
540.334245912	0.001
540.592549405	0.001
540.850844284	0.001
541.109130551	0.001
541.367408204	0.001
541.625677242	0.001
541.883937666	0.001
542.142189474	0.001
542.400432666	0.001
542.658667242	0.001
542.916893201	0.001
543.175110542	0.001
543.433319266	0.001
543.691519371	0.001
543.949710856	0.001
544.207893722	0.001
544.466067968	0.001
544.724233594	0.001
544.982390597	0.001
545.24053898	0.001
545.498678739	0.001
545.756809876	0.001
546.01493239	0.001
546.27304628	0.001
546.531151545	0.001
546.789248185	0.001
547.047336199	0.001
547.305415588	0.001
547.56348635	0.001
547.821548485	0.001
548.079601992	0.001
548.337646871	0.001
548.595683121	0.001
548.853710742	0.001
549.111729733	0.001
549.369740093	0.001
549.627741823	0.001
549.885734921	0.001
550.143719388	0.001
550.401695222	0.001
550.659662422	0.001
550.91762099	0.001
551.175570923	0.001
551.433512221	0.001
551.691444885	0.001
551.949368912	0.001
552.207284303	0.001
552.465191058	0.001
552.723089175	0.001
552.980978654	0.001
553.238859495	0.001
553.496731697	0.001
553.75459526	0.001
554.012450182	0.001
554.270296464	0.001
554.528134105	0.001
554.785963105	0.001
555.043783462	0.001
555.301595176	0.001
555.559398247	0.001
555.817192675	0.001
556.074978458	0.001
556.332755596	0.001
556.590524089	0.001
556.848283936	0.001
557.106035137	0.001
557.363777691	0.001
557.621511597	0.001
557.879236855	0.001
558.136953465	0.001
558.394661425	0.001
558.652360736	0.001
558.910051396	0.001
559.167733406	0.001
559.425406765	0.001
559.683071472	0.001
559.940727526	0.001
560.198374928	0.001
560.456013676	0.001
560.71364377	0.001
560.97126521	0.001
561.228877995	0.001
561.486482124	0.001
561.744077597	0.001
562.001664414	0.001
562.259242573	0.001
562.516812075	0.001
562.774372918	0.001
563.031925103	0.001
563.289468628	0.001
563.547003494	0.001
563.804529699	0.001
564.062047243	0.001
564.319556126	0.001
564.577056347	0.001
564.834547905	0.001
565.092030801	0.001
565.349505032	0.001
565.6069706	0.001
565.864427503	0.001
566.121875741	0.001
566.379315313	0.001
566.636746219	0.001
566.894168457	0.001
567.151582029	0.001
567.408986933	0.001
567.666383168	0.001
567.923770735	0.001
568.181149632	0.001
568.438519859	0.001
568.695881415	0.001
568.9532343	0.001
569.210578514	0.001
